DS_NAME,N,NL,CLF_NAME,KFOLDS,TRE,TESTE,TESTE_STD,E_DIFF,REGULARIZATIN,HPS
Moon,10,0.5,svm,5,1.0,0.5,0.31622776601683794,0.5,1.0,1000.0
Moon,50,0.0,svm,5,0.6199999999999999,0.6199999999999999,0.132664991614216,0.0,1.0,0.001
Moon,50,0.0,svm,5,0.6199999999999999,0.6199999999999999,0.132664991614216,0.0,1.0,0.005
Moon,50,0.0,svm,5,0.6199999999999999,0.6199999999999999,0.132664991614216,0.0,1.0,0.01
Moon,50,0.0,svm,5,0.9349999999999999,0.9200000000000002,0.07483314773547882,0.014999999999999791,1.0,0.1
Moon,50,0.0,svm,5,0.9549999999999998,0.9400000000000001,0.07999999999999999,0.014999999999999791,1.0,0.5
Moon,50,0.0,svm,5,0.9800000000000001,0.96,0.04898979485566354,0.02000000000000013,1.0,1.0
Moon,50,0.0,svm,5,1.0,1.0,0.0,0.0,1.0,5.0
Moon,50,0.0,svm,5,1.0,1.0,0.0,0.0,1.0,10.0
Moon,50,0.0,svm,5,1.0,0.86,0.10198039027185571,0.14,1.0,100.0
Moon,50,0.0,svm,5,1.0,0.78,0.11661903789690603,0.21999999999999997,1.0,1000.0
Moon,50,0.1,svm,5,0.58,0.48,0.16,0.09999999999999998,1.0,0.001
Moon,50,0.1,svm,5,0.58,0.48,0.16,0.09999999999999998,1.0,0.005
Moon,50,0.1,svm,5,0.6849999999999999,0.56,0.16248076809271922,0.12499999999999989,1.0,0.01
Moon,50,0.1,svm,5,0.9400000000000001,0.9,0.08944271909999157,0.040000000000000036,1.0,0.1
Moon,50,0.1,svm,5,0.9800000000000001,0.9800000000000001,0.039999999999999994,0.0,1.0,0.5
Moon,50,0.1,svm,5,0.9800000000000001,0.9800000000000001,0.039999999999999994,0.0,1.0,1.0
Moon,50,0.1,svm,5,1.0,0.9800000000000001,0.039999999999999994,0.019999999999999907,1.0,5.0
Moon,50,0.1,svm,5,1.0,0.9800000000000001,0.039999999999999994,0.019999999999999907,1.0,10.0
Moon,50,0.1,svm,5,1.0,0.8400000000000001,0.13564659966250536,0.15999999999999992,1.0,100.0
Moon,50,0.1,svm,5,1.0,0.45999999999999996,0.04898979485566355,0.54,1.0,1000.0
